Country ,Region,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Angola,Africa,314,188,164,2630,-1,1233,3062,1480,456,5833,2702,1628,1669,2204,2098,2972,3491,3062,4145,4033,4316,4042,4241,5793,6182,3608,3232
Burundi,Africa,64.9,66.5,68.3,67.6,70.7,58.9,68.3,73.7,79,82.8,71.3,94.6,90.7,92,89.7,85.7,71.6,71.9,60.2,-1,-1,-1,64.4,66.3,64.6,66.2,64.9
Central African Rep.,Africa,-1,39.8,40.5,36.9,32.4,29.8,27.6,-1,-1,-1,-1,-1,30.5,34.4,32.1,31.7,-1,33.2,46.8,54.5,80.7,-1,-1,-1,-1,-1,-1
Congo Dem. Rep.,Africa,37.7,34.7,66.2,203,-1,-1,85.1,70,21.1,76.8,60.5,-1,-1,97.4,161,189,206,194,140,150,236,270,343,380,345,491,503
Chad,Africa,42.1,-1,42.1,54.6,42.7,31.8,36.2,26.2,24.6,36.4,41.3,46.4,54.9,55.6,65.9,67,247,434,578,670,598,585,-1,640,340,221,260
Djibouti,Africa,69.1,67.2,68.5,61.8,59.4,54.6,43.7,46.2,45.4,45.7,43.6,42.8,54.4,67,58.1,67.6,72.2,47.9,45,-1,-1,-1,-1,-1,-1,-1,-1
Rwanda,Africa,110,152,125,121,41.3,69.7,99,91.2,100,102,86.9,88.7,83.8,78,68.1,65.9,72.5,67.2,70.8,74,73.6,72.6,73.9,77.2,88.2,103.6,105.9
Uganda,Africa,152,148,98,100,124,141,151,149,189,216,209,211,226,244,279,280,270,277,305,300,641,660,384,379,393,389,398
South Africa,Africa,4850,3984,3430,3170,3380,3007,2613,2402,2129,2040,2394,2677,2942,2907,2948,3230,3231,3156,3093,3238,3128,3241,3389,3467,3464,3460,3424
Sudan,Africa,1312,1052,910,1038,7688,561,398,314,909,1529,2099,1331,1561,1180,3352,2740,3222,4081,4923,4801,-1,-1,-1,-1,-1,2280,2465
United States,Americas,555399,487798,515431,488342,460617,433733,410141,408020,398803,399787,415259,418631,470042,534984,583090,610898,620387,636674,683776,738621,758890,749533,706918,650851,610636,596010,606233
Canada,Americas,16822,15536,15364,15325,15103,14235,13072,12046,12462,13000,12787,13126,13193,13436,13945,14558,15234,16609,17900,18717,16905,17477,16619,15362,15613,15317,15505
Mexico,Americas,2393,2523,2800,2989,3757,3139,3332,3339,3443,3623,3739,3700,3579,3568,3437,3694,4018.7,4538,4543,5149,5615,5858,6432,6749,7464,7740,6893
Venezuela,Americas,10756,12946,11967,14932,10953,10520,7597,12460,9682,8411,10320,10431,7662,7459,10575,14286,18848,15733,17573,128853,10087,9424,16208,17389,11692,5265,2336
Brazil,Americas,12722,10304,8112,11145,13269,14919,13874,13779,14810,15172,16434,19036,19290,15389,15989,17301,17914,19320,20556,22414,24890,24110,24574,24708,25201,24618,22839
China,Asia,22041,23415,28446,26240,25274,26232,27857,29879,32739,39829,43261,52216,60685,65543,72467,80197,92652,103670,113542,137512,144499,156009,169382,185152,200915,214093,225713
Philippines,Asia,2088,1900,1918,2077,2175,2421,2538,2266,2238,2210,2335,2202,2318,2584,2434,2480,2565,2809,2810,2702,2838,2886,2926,3326,3071,3336,3990
Japan,Asia,37780,38735,39317,39158,39145,39793,40519,40857,40903,40685,40888,41604,41811,41864,41697,41622,41091,40557,40167,40919,41063,41616,41114,40940,41159,41103,41569
South Korea,Asia,15597,16022,17008,17791,18306,20012,20294,20791,20065,19528,20728,21321,21908,22653,23648,25576,26498,27698,29510,31365,31620,32062,32876,33912,34954,36433,37265
Pakistan,Asia,4832,5173,5500,5472,5315,5407,5406,5176,5176,5227,5238,5603,6026,6439,6704,6978,7093,7142,6734,6940,7197,7586,8045,8310,8731,9483,9931
Afghanistan,Asia,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,203,183,184,284,240,274,297,296,220,203,247,200,187
India,Asia,18559,17328,16561,18705,18788,1931,19702,21810,22755,26445,27287,28238,28150,28779,33430,35576,35747,36179,41036,48315,48508,48978,48804,48445,50813,51295,55631
Australia,Oceania,12094,12301,12660,13139,13286,12870,12712,12937,13571,14238,14197,14762,15394,155675,16321,16895,17800,18893,19582,21047,21306,21011,20275,20099,21814,24040,24371
Egypt,Middle East,3731,3755,3680,3572,3746,3687,3733,3821,2847,2860,4126,4980,5622,5745,5435,5425,5551,5590,5206,5053,5051,4906,4773,4734,5164,5475,5357
Iran,Middle East,3774,3403,2953,3458,4268,4187,4617,5150,5154,5213,5739,6389,6877,8026,10372,12334,14515,13362,12840,13441,13671,12353,12851,10151,10067,10589,12383
Iraq,Middle East,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2118,2858,2052,3140,4151,3957,4459,4805,4369,8056,7012,9604,6188
Kuwait,Middle East,18207,23728,12027,5819,6174,6771,5758,4387,4093,3977,4644,4564,4709,5075,5463,5287,5226,5551,5111,4969,4878,5570,6031,5705,5694,5503,6370
Israel,Middle East,12306,16906,12774,14125,13272,12314,12612,12657,12490,12229,12962,13453,15045,15406,15647,15178,15611,15011,14729,15495,14942,14593,14827,15654,16565,16764,17800
Oman,Middle East,2964,2456,2941,2760,2933,2954,2791,2888,2558,2588,3082,3585,3691,3883,4366,5263,5627,5701,5428,5079,5365,7022,12623,11814,10958,10045,9080
UAE,Middle East,-1,-1,-1,-1,-1,-1,-1,6541,7713,7974,10921,10483,9406,9940,11056,10086,10013,10640,12963,15262,19141,20793,20486,25094,23681,-1,-1
Yemen,Middle East,2404,2252,2212,1914,1964,1475,1342,1722,1654,1793,2133,2267,2871,2963,2416,2484,2324,2778,2670,3055,3032,2749,2519,2317,2230,-1,-1
Saudi Arabia,Middle East,27720,26435,24846,26332,22728,20035,20002,27164,31375,27929,30782,32784,28781,28993,32232,38838,44243,50962,50018,51398,53494,54222,61352,70313,82527,87186,61358
Qatar,Middle East,1911,2073,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1382,1393,1284,1356,1456,1876,2419,2138,2110,-1,-1,-1,-1,-1,-1
Turkey,Middle East,11409,12000,13267,12971,13326,14919,15544,16287,17983,17404,15955,16955,16976,15321,13982,13237,14203,13656,13809,14777,4478,14619,14939,15310,5397,15881,14974
Georgia,Europe,-1,-1,-1,-1,-1,-1,108,67.5,65.2,50.2,34.2,43.4,62.1,75.6,106,280,476,943,895,546,409,368,382,347,336,333,315
Russia,Europe,196111,-1,41938,36661,34657,22803,21533,23540,14000,15548,20982,22679,25123,26338,27536,31293,34633,37698,41423,43458,44338,47321,54832,57500,61622,66419,70345
France,Europe,58149,58527,56686,56058,56346,53557,52272,52451,51085,51517,50923,50768,51815,53372,54833,53714,53957,54164,53622,57240,54623,53288,52551,52419,53195,55342,55681
Germany,Europe,61199,56636,53864,48423,45159,44416,43549,41966,42101,42959,42268,41573,41686,41117,39857,39237,38331,38364,39467,40958,41405,40221,41180,38803,38628,39813,40985
Greece,Europe,5574,5287,5494,5363,5455,5572,5906,6293,6857,7179,7576,7409,7268,6227,6846,7403,7697,7691,8550,8964,6889,5546,4905,4581,4543,4948,4986
Ukraine,Europe,-1,-1,-1,281,1239,1331,1283,1590,1285,1184,1468,1240,1318,1523,1644,1991,2234,2715,2656,2433,2447,2249,2518,2678,3264,3617,3479
Italy,Europe,30768,31202,30305,30467,29714,27137,29911,31364,32399,33669,35921,35330,36297,36591,36708,35311,34174,33114,34326,33363,32422,31815,29554,28388,26402,25295,27966
UK,Europe,60028,60721,56716,54125,52636,49369,49074,47528,47792,47733,48981,50964,54265,58167,58846,59337,59720,61610,64360,65610,64230,61518,58896,56408,54938,53862,54217
Spain,Europe,16318,15683,15299,14907,15061,15180,14701,14558,15278,16789,17352,17159,15905,16142,16873,17083,17642,18298,18197,17469,17582,16220,16404,14311,14289,14937,14994
Netherlands,Europe,11526,11205,11141,10238,9873,9593,9648,9547,9512,9976,9583,9834,9824,9964,10039,10058,10526,10667,10483,10709,10258,9914,9316,8677,8691,8668,9249
Norway,Europe,4402,4268,4626,4311,4532,4093,4149,4080,4350,4373,4228,4255,5114,4917,5041,4743,4734,5036,5063,5373,5291,5389,5487,5614,5858,5815,6080
Belgium,Europe,6974,6876,5646,5361,5332,5223,5125,5060,5059,5125,5124,4899,4750,4802,4702,4531,4495,4851,5288,4981,4771,4603,4552,4436,4357,4218,4028
Portugal,Europe,3236,3336,3426,3316,3226,3465,3341,3413,3338,3513,3618,3763,3868,3732,3964,4201,4081,3907,3921,4289,4230,4041,3588,3954,3557,3750,3764
Romania,Europe,3739,3878,3034,18832,2184,2130,2070,2320,2108,1902,1810,1899,1889,1948,2095,2216,2284,2190,2414,2052,1890,1955,1902,2047,2237,2581,2816
Albania,Europe,232,164,126,115,110,102,92,64.2,60.7,70.3,77.8,88,88,99,108,112,138,171,201,171,170,166,156,152,132,142,147
